F_4C_1_1	F_4C_1_2	F_4C_1_3	F_4C_1_4	F_4C_2_1	F_4C_2_2	F_4C_2_3	F_4C_2_4	F_4C_3_1	F_4C_3_2	F_4C_3_3	F_4C_3_4	F_4C_4_1	F_4C_4_2	F_4C_4_3	F_4C_4_4	PS_4C_1_1	PS_4C_1_2	PS_4C_1_3	PS_4C_1_4	PS_4C_2_1	PS_4C_2_2	PS_4C_2_3	PS_4C_2_4	PS_4C_3_1	PS_4C_3_2	PS_4C_3_3	PS_4C_3_4	PS_4C_4_1	PS_4C_4_2	PS_4C_4_3	PS_4C_4_4	PS_4C_5_1	PS_4C_5_2	PS_4C_5_3	PS_4C_5_4
Nog	0	0	0	0	0	0	0.25	0.25	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf219	0	0	0	0	0	0	0	0.5	0.25	0	0	NA	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0
Slamf9	1	0.5	1	0.75	0	0.5	0	0.5	0.5	0.5	0	NA	0.75	0.5	0.75	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	0.25	0.75	0.5	0.5	1	0.75	0.5	0	0.75	0.25	0.5	0.75	0.25
Slamf8	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0
Rnf215	0.25	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf217	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf216	0	0	0	0	0	0	0	0	0.25	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0.25	0
Slamf1	0	0	0	0	0.25	0	NA	0	0	0	0	NA	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.5	0	0	0.25	0	0	0	0
Gdap10	0	0.75	0.75	0.25	0.5	1	0.5	0.75	NA	0.5	0.5	NA	0.5	0	0.25	0.5	0.75	0.5	0.75	0.75	0.5	0.5	0.5	0.25	0.25	0.25	0.75	0.5	0.5	0.75	1	0.25	0.5	0	0.5	0.25
Gm10578	0	0.25	0	0	0.25	0.25	0	0.5	0	0	0	NA	0	0.25	0	0	0	0.25	0.5	0	0.25	0.25	0.25	0.25	0	0.25	0	0.75	0.25	0	0.25	0	0.25	0.5	0.5	0.5
Col25a1	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930502E09Rik	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0
Gse1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D430042O09Rik	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930522H14Rik	0.25	0.25	0.25	0.5	0.5	0.5	1	0.5	0.25	1	0.5	NA	0.25	0.5	0.25	0.5	0	0.5	0	0.75	0.5	0.5	0.5	0.25	0.75	0.75	0.25	0.5	0.75	1	0.25	0.75	0.75	1	1	0.5
Gprc5d	0.25	0.25	0.25	0.5	0	0.25	0	0	0	0	0.25	NA	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0
Gprc5a	0	0.25	0	0.25	0	0	0	0	0	0	0	NA	0	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gprc5c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gprc5b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pmm2	0.5	0	0	0.25	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0	0	0
Pmm1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl11b	NA	0	0.5	0.5	0.75	0	0.5	0.5	0	0.25	0.25	NA	0	0.25	0	0	0.25	0	0	NA	0.25	NA	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0	0.5	0.5	0.25
AI854703	0	0	0.25	0.25	0	0	0	0	0.25	0.25	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Prl2b1	0.75	1	0	0.25	NA	NA	1	NA	NA	NA	0.75	NA	NA	NA	NA	0	1	NA	0.25	NA	0	0.25	NA	0	NA	0	1	NA	0.25	NA	1	1	NA	NA	NA	NA
E130215H24Rik	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbms1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbms3	0.25	0.25	0.25	0.5	0.5	0.25	0	0	0.25	0.25	0.25	NA	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25
Rbms2	0.25	0	0	0	0.25	0	0.25	0	0.25	0	0	NA	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.5	0
Chst11	0.25	0	0.25	0.25	0.5	0	0	0.25	0	0.25	0.25	NA	0	0	0.25	0	0.25	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0
Chst10	0	0	0.25	0.25	0.25	0.75	0.25	0.5	0	0.5	0	NA	0.25	0	0	0.25	0	NA	0	0	0	0.25	0.25	0.75	0.25	0	0	0	0	0	0.25	0	0	0	0	0
Chst13	0.25	0	0	0	0	0	0.75	NA	0	0.25	0.25	0	0.25	0.25	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0.25	0.75	0.25	0.5	0.25	0.25	0.25
Chst12	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0
Chst15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chst14	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir1231	0.75	1	0.75	0.5	0.25	0.5	0.25	0.5	0.5	0.5	0.5	NA	1	0.75	0.75	0.75	0.25	0.5	0.5	0.75	0.25	1	0.5	0.5	0.5	0.75	0.5	0.5	0.75	0.5	0.25	0.5	0.75	0.5	0.75	0.25
Rfxank	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
Bnc1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bnc2	0	0	0	0	0	0	0	0	0.25	0	0	NA	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pnp	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	0	0	0.25	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pnn	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.5	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25
Nsl1	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bptf	0.25	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-Aa	0	0	0	0	0	0	0	0	0.25	0	0.25	NA	0	0	0.25	0	0.25	0.75	0.25	0	0.25	0	0	0.25	0.25	0	0.25	0	0	0	0	0.25	0.25	0	0.25	0
Plekhd1	0	0.5	0	0.25	0	0	0	0	0.25	0.25	0.5	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
Fbxo2	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo3	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo4	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0.5	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo6	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo7	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo8	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo9	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Swap70	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vrtn	0	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mr1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0.25	0	0	0	0
4930542D17Rik	0	0.25	0	0	0.25	0	0	0.25	0.25	0	0	NA	1	0	0	0.25	0.5	NA	0.25	0	0	0	0	0	0.5	0.25	0.5	0.25	0.5	0.25	0.5	0.25	0.75	0.5	0.75	0.75
Pla2g7	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0
Nfam1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pla2g5	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0
Pla2g3	0.25	0.5	0.5	0.5	0.5	0.25	0.25	0.5	0.25	0.75	0.25	NA	0.5	0	0.75	0.75	0	0.75	0.25	0.5	0.5	0.5	0.75	0.5	0.75	0.75	0.75	0.75	0.75	0.5	0.75	0.5	0.25	0.5	0.25	0.25
Rbpms	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0
Gm15056	0	0.25	0	0	0.25	0	0	0.25	0	NA	0	NA	0	0	0	0.5	NA	NA	0	NA	0	0	0	0	0.25	0	NA	0	0	0	0.25	0.25	0.5	0.25	1	0.25
Mro	0.75	0.5	0	0.25	0.25	0.75	0.25	0	0.75	0.25	0.25	NA	0.5	0.25	0.75	0.5	0.5	1	0.25	0.5	0.5	0.5	0.75	0.5	0.5	0.5	0.5	0.5	0.25	0	0.5	0.5	0.5	0.75	0.5	0.5
Zfp748	0	0	0	0	0	0	0	0	0	0	0	NA	0.75	0	0	0.25	NA	0	0	NA	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0
Slc47a2	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp747	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0.25	0	0	0	0	0	0.5	0	0	0	0	0	0.25	0	0	0	0	0	0
Zfp746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp740	0.25	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir7676-2	0	0	0	0.25	0	0	0	0.25	0	0	0	NA	0	0.25	0	0	0	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0.25	0.75	0.25	0.25	0.25
Mir7676-1	0	0	0	0.25	0	0	0	0.25	0	0	0	NA	0	0.25	0	0	0	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0.25	0.75	0.25	0.25	0.25
Ntan1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hapln4	0	0	0	0	0	0	0	0	0.5	0	0.25	NA	0	0	0	0	0.25	0.25	0	NA	0.25	0.5	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0
Hapln1	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	NA	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hapln3	0	0	0	0	NA	0	0	0	0.25	0	0	NA	0	0	0	0	0	0.25	0	0	0.25	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0.25	0	0	0
Hapln2	0.25	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc22a18	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc22a19	0.75	0.5	0.5	0	0.25	NA	0	NA	0.25	0.25	0.25	NA	0	0.5	0	0.5	0.5	0.5	0.75	NA	0.5	0.25	0.25	0.25	0.25	0	0	0	0	0.5	0	0.25	1	0.25	0.75	0.25
Slc22a16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc22a17	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc22a14	0	0.25	0	0	0.25	0.75	0.5	0.25	0	0	0	1	0	0.25	0	0.25	0.5	NA	0.5	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0.25	0.25	0.25	0.25	0.25
Slc22a15	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc22a12	0.25	0.5	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.75	NA	0.75	0.25	0.5	0.25	0	0	0.25	0.25	0.5	0.75	0.75	0.75	0.25	0.25	0.5	0.5	0.25	0.5	0.5	0.5	0.5	0.5	0.25	0.5
Slc22a13	0.5	1	0.75	0.75	0.25	NA	0.5	0.25	0.25	0	0.25	NA	0.25	0.25	0.5	0.5	0.5	0.75	0.75	0.5	0.5	0.75	0.25	0.5	0.5	0.75	0.5	0.75	0.75	0.5	0.75	0.5	0.75	0.5	0.75	0.25
Mfhas1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtrf1l	0	0	0	0	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.25	0	0	0	0	0
Tspan2os	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9130227L01Rik	0.25	0	NA	0	NA	0	NA	NA	1	0	0.25	NA	0.5	NA	0.25	0.25	0.75	0	0.75	0.75	0.25	0	0.25	0.25	0.25	0.25	0	0.25	0.5	0.5	1	1	0	0	0.25	0.5
Dot1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam98c	0.25	0.25	0.25	0.5	0	0	0.25	0	0	0.25	0	NA	0.25	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0	0.25	0	0.25	0.25	0.25	0	0.25	0	0	0	0	0.25
Arhgef11	0	0	0	0	0	0	0	0	0	0.25	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef12	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0
Arhgef16	0	0	0	0	0	0	0	0	0	0	0.25	NA	0	0	0	0	0	0	0	0	0.5	0	0.25	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0
Arhgef17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef18	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef19	0.25	0.75	0.25	0.25	0	0.25	0	0.25	0.25	0.5	0.25	NA	0	0.25	0.5	0.25	0.5	0.25	0	0	0.25	0.25	0.5	0.5	0.25	0	0	0	0.5	0	0	0	0	0	0.25	0
Psapl1	0.5	0.25	0.5	0.5	0.25	0.5	0.5	0.5	0.75	0.5	0.75	NA	0.75	0.75	0.75	0.75	0.75	0.75	0.5	1	0.5	0.25	0.75	0.5	0.75	0.75	0.75	1	1	0.5	0.5	0.5	0.25	0.5	0.75	0.5
Atp6v1d	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1f	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0
Atp6v1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt28	0.5	0.25	0.75	0.25	0.25	0.25	0.75	NA	0.5	0.25	0.5	1	1	0.75	0.75	0.5	0.25	0	0	0.5	0.25	0.5	0.25	0.25	0.75	0.5	0.75	1	0.25	0	0	0	0.25	0.25	0.5	0.25
Gm17365	0.75	1	0.75	1	0.5	0.75	0	1	0.75	0.75	0.5	NA	0.5	0.75	0.75	0.5	1	NA	1	NA	0.75	0	1	0.25	1	0.75	1	1	0.5	0.75	1	0.25	0.75	1	0.75	1
D5Ertd579e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zcchc18	0	0	0	0.25	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0.75	0.25	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0.25
Pdpk1	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010J16Rik	0	0	0.25	0.75	0.75	0	0	0	NA	0.5	0.25	NA	NA	0	0	0.5	0.5	1	0	NA	0.5	0	0	0.25	0.25	0.5	0.25	0.5	0.5	0	NA	0	1	0.75	1	0.75
1700025F24Rik	0.25	0.25	0.25	0	0	0	0	0	0	0	0	NA	0	0	0	0	0.5	0.5	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0.25	0.25	0	0	0	0
BC094916	0	1	NA	NA	NA	NA	NA	0.75	0.5	0	NA	NA	0.5	0	1	0	1	0	1	NA	0.75	0.25	0.5	1	0	1	0.25	1	0	NA	0	1	NA	0	1	0.75
Rfng	0	0	0	0	0	0	0	0	0	0	0	NA	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0
Ift122	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr574	0.25	0.5	0.75	0.25	0.25	0	0	0.75	0.25	0.75	0	NA	0.25	0.5	0.75	0	0.25	NA	0.5	NA	0.5	0.75	1	0.5	0.75	0.25	0.5	0	0.5	0.25	NA	NA	0.25	0.5	1	0
Olfr575	0.75	0.5	0.5	0	0.25	0	0	0.75	0	0	0.25	NA	0.75	0	0.25	0	0	NA	NA	0.25	0.25	1	0	0.25	1	0.25	0	0.25	0.25	0.5	0.25	1	0	0.5	0.75	0.75
Stau2	0	0	0.25	0	0	0	0	0	0.25	0.25	0.25	1	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0
Olfr577	0	0	0.25	0.25	1	0.25	0.75	1	NA	0.25	0.5	NA	0.75	0.5	0.5	0.5	0.75	NA	1	NA	0.25	0	0.5	0	0.25	0.5	0	0	0.25	0.25	0.5	0.25	0.5	0.25	0.75	0.75
Olfr570	0	NA	0.25	0	NA	1	NA	NA	NA	0	0	NA	0.25	0.25	0	NA	0.25	0.25	NA	0.25	0.25	0.25	1	0.75	0.5	0.5	0.25	0.5	0.75	1	NA	NA	1	NA	0	NA
Olfr571	0	0	0	0	0	NA	0	0	0	0	0	NA	0.75	0	0.25	0.25	0	0	0	NA	0	0	0.25	0.25	0	0	0	NA	0	0	0.25	0	0	0	0	0.25
Olfr572	0.5	0	0.25	0	NA	0.5	0	0	0.25	0	0	NA	0.5	0.75	0.5	0	NA	NA	0	NA	0	0	0	0	0.25	0.25	0.75	0.25	0.5	0.5	0	0.75	0	0.25	1	0.75
Olfr578	0	0.25	0.25	0.25	0	0	0	NA	0.25	0	0	NA	0.25	0.25	0	0	1	0.5	0.25	0	0	0	0	0	0	0.25	0.5	1	0.5	0.5	0.25	NA	0.25	0.25	0	0.5
Ndnf	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C130080G10Rik	0	0	0	0	0	0.25	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.25	0	0.75	0	0	0	0.5	0.25	0	0.5
Npc1l1	0.75	0.75	0.5	1	0.5	0.25	0.5	1	0.75	1	0.5	NA	0.75	0.75	0.75	0.75	0.5	1	0.5	1	0.5	0.5	1	0.5	0.75	0.5	0.75	0.25	0.5	0.25	0.25	0.25	0.5	0.5	1	0.75
Ltb4r2	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ltb4r1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0
Kremen2	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0.25	0.25	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0
Kremen1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0
Ccl27b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
Ccl27a	0.5	0	0.25	0	0	0.25	1	0.25	0.5	0.25	0.5	NA	0.25	0.25	0.25	0.25	0	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0	0.25	0	0.25	0	0.25	0.25	0.25	0	0.25	0
Tbl1xr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc5a1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.5	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0
Htatip2	0	0	0	0.25	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0
Astl	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0
Mab21l1	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mab21l2	0	0	0	0	0	0.5	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0
Mab21l3	0	0	0	0	0	0	0	0	0	0.25	0	NA	0	0	0	0	0	0	0.25	0	0.25	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0
Slc5a2	0.25	0	0.25	0	0	0.25	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp9	0	0	0	0	0.25	0.25	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp8	0.5	0	0.25	0.75	0	0	0	0	0.5	0.25	0	NA	0	0.25	0.25	0.25	0	1	0	0	0	0.25	0	0	0.25	0	0.25	0	0.25	0	0.25	0	0.5	0.25	0.25	0.25
Dusp5	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp7	0	0	0	0	0	0	0	0	0.25	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp6	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0
Dusp1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp3	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
