MII_1_ratio	MII_2_ratio	MII_3_ratio	MII_4_ratio	MII_5_ratio	MII_6_ratio	MII_7_ratio	MII_8_ratio	MII_9_ratio	MII_10_ratio	MII_11_ratio	MII_12_ratio	MII_Bulk_ratio	X2i_1_ratio	X2i_2_ratio	X2i_3_ratio	X2i_4_ratio	X2i_5_ratio	X2i_6_ratio	X2i_7_ratio	X2i_8_ratio	X2i_9_ratio	X2i_10_ratio	X2i_11_ratio	X2i_12_ratio	X2i_Bulk_ratio	Ser_1_ratio	Ser_2_ratio	Ser_3_ratio	Ser_4_ratio	Ser_5_ratio	Ser_6_ratio	Ser_7_ratio	Ser_8_ratio	Ser_9_ratio	Ser_10_ratio	Ser_11_ratio	Ser_12_ratio	Ser_13_ratio	Ser_14_ratio	Ser_15_ratio	Ser_16_ratio	Ser_17_ratio	Ser_18_ratio	Ser_19_ratio	Ser_20_ratio	Ser_Bulk_ratio	MII_2D_ratio	MII_5D_ratio
2610507I01Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA
Rbm41	1	0.25	0.5	NA	0	0.25	1	1	1	1	0.25	0.25	0.25	NA	1	NA	NA	NA	NA	NA	NA	0.25	NA	1	1	0	NA	0.25	NA	NA	NA	0.25	0.25	NA	NA	0	NA	1	NA	0.75	1	NA	NA	0.5	1	0	0.25	0.5	0
Rbm42	0	0.25	0.5	NA	0	0.25	NA	NA	1	0.25	NA	0.5	0.25	0	0	0	0.25	0	0	1	0	0	0	NA	0	0	0.25	0	0	0.25	0.25	NA	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0.25	0.25	0.25
Rbm43	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.75	0.25	1	0.75	0.25	0	0.25	0	0.25	0.25	0.25	0	0.25	NA	NA	0	0	0.5	0.5	NA	0	0.5	0.5	0	0
Rbm44	0	0.5	0.25	1	0.5	0.25	NA	0	0	0	NA	NA	0.25	0	NA	NA	NA	NA	0	0.75	0	0	NA	NA	0.5	0.25	1	NA	0	0.5	NA	NA	1	1	1	1	0.75	0.75	NA	0.75	0.5	0.5	0.75	0.5	1	0.5	0.5	0.5	0.5
Rbm45	0	0	0	0.25	0	0	NA	0.25	NA	0	NA	0	0	0	0	NA	0	NA	0.25	0.5	0	0.25	NA	0	0	0	0.25	0.25	NA	0.25	0.25	0	0.25	0	0.25	0	0.5	0	0	0	0	0	NA	1	0	0.25	0.25	0	0.25
Rbm46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
Rbm47	1	0.75	0.25	1	0	0.25	0.25	0.25	0.25	0.25	1	1	0.75	0.5	0.25	0.5	0.5	0	0	0.5	0.5	0.25	0	0	0.25	0.25	0.75	0.25	0.25	0	0.25	0.25	0.5	0.25	0.25	0.25	0.75	0	0	0.25	0.75	0.25	0.25	0.25	0.5	0.25	0.25	0.75	0.5
Rbm48	0	0	0	NA	0	0	0	0	0	0	0	0	0	0.25	0	1	0	0	0	NA	0	0	0	0	0	0	1	0	0	0	0.5	0	0	0	0	0.25	0	0	0.5	0.25	0	0	NA	0	0	0	0	0	0
Dpp8	0	0	0	0.25	0	0.5	0	0	0	0	NA	0.25	0	0	0	NA	0	0.25	0.25	0.25	0	0	0	0	0	0	0.75	1	0	0.25	0	0	0	0.75	0	0.5	0.25	0.75	0.25	0	0	0	0.25	0	0	0.75	0.25	0	0
Dpp9	0.5	1	1	1	0.75	1	0.75	NA	1	0.75	0.75	1	0.75	0.25	0	0.25	0	0.25	0	0.5	0.25	0	0	0.25	0	0	0	0.25	0.25	0.25	0	0.25	0.5	0.75	0.5	0.25	1	0.5	0.25	0.25	0.25	0.25	0.75	0.25	0.75	0.5	0.25	0.75	1
Primpol	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0.5	1	0	0	0	0.5	0	1	0	1	0	0.75	0.5	0	0.25	0.75	0	0.5	0	0.25	0.5	0.75	1	0	0	0	0	0.5	0.25	0.25	0.75	0.25	0	0
Dpp3	0	0.25	0.75	0.75	0	0	0.5	1	0.5	0.25	1	1	0.25	NA	NA	0.25	0.25	0	0	0.25	0	0.25	0	NA	NA	0	NA	0.25	0	0.25	0.25	0	1	0.75	0.75	0.25	0.5	0.75	1	0.25	0.25	0	0	0.25	0.25	0.75	0.25	0.25	0.25
Dpp4	0	0	0	NA	0	0	NA	0	0.25	0.25	NA	0	0	0.25	NA	1	NA	0	NA	0.5	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0.25	0	0	0.25	NA	0	0.75	0	0.25	0.25	0	0	0	0.25	0	0
Dpp6	0	0.25	0.25	0.25	0.5	0.5	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0	0.5	0.25	0.25	0.25	0	0.25	0	0.25	0.25	0.25	0.25	0	0.5	0.5	0.25	0.75	0.25	0	0.25	0.5	0.25	0.5	0.25	0.5	0.25	0.5	0.25	0.5	0.5	0.75	0.5	0.5	0.25	0.25	0.25
Dpp7	0.25	0.5	0.25	0	0.25	0.5	0.5	0	0	0.75	0.5	0.5	0.25	0	0.5	0.75	0	0.5	0	0	0	0	0	0	0.25	0	0.5	0.75	0.5	0.25	0.25	0	1	0.5	0.25	0.5	0.5	0.75	0	0.25	0	0.5	0.25	0	0.25	0.5	0.25	0.5	0.25
1700049G17Rik	0	NA	0	0	0	0	0.5	0	0.25	0.25	0	0	0	NA	0	NA	0	0	NA	0.25	0	NA	0.25	0	NA	0	0.5	1	NA	0.25	0.25	0	0.5	0	0.25	0.5	NA	NA	NA	0.5	0.5	0	0.5	0.75	0.75	1	0.25	0	0
Sox5os3	NA	0.5	0.5	NA	1	1	NA	0.5	1	NA	NA	0	0.75	0.5	0.5	0.75	0.5	NA	NA	0.5	0	NA	NA	0	0	0.5	1	1	NA	NA	0.75	0.25	1	NA	0	1	0.75	0.5	1	1	0.25	NA	1	1	1	1	0.75	0.25	0.75
Six3os1	0	0	0	0.25	0.5	0	0.25	0.25	0	1	0.25	0.5	0	0	0.25	0	0	0.25	0.25	0.25	0	0.25	0.25	0	0	0	0.5	0.25	0	0	0.75	0	0.25	0.75	0	0.5	0	0.75	0.25	0.25	0.5	0	0.25	0.25	0.25	0.25	0.25	0	0
Mir107	NA	0	0	NA	0	0	NA	NA	0	0	NA	0	0.25	NA	NA	1	0	NA	NA	1	NA	1	0.75	0.25	NA	0.5	1	1	1	0.75	1	NA	1	NA	0.75	1	NA	1	0.75	0.75	1	0.75	1	1	NA	1	0.75	0	0
Mir105	NA	NA	0.25	NA	0	0	NA	NA	0	NA	NA	0	0.25	NA	NA	0.75	NA	NA	NA	1	0.25	NA	0.5	NA	NA	0	1	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	0.5	NA	0	NA	NA	1	NA	0.75	0.25	0.25
Mir100	0.25	NA	0.25	NA	0.25	1	0	0	0	NA	NA	0.25	0.5	0.75	0	1	NA	0.5	NA	0.5	NA	0	0.25	NA	1	0.25	1	0	0.75	0.75	0.5	0.25	NA	0.25	0.5	0.75	1	NA	0	1	0.5	0.75	0.75	0.75	NA	0.5	0.75	0.5	0.5
Slc39a8	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.25	0	0	0	0.25	0	0	0.25	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0
Slc39a9	0	0	0	0.25	0	0	0.75	0	0.25	0	1	0.5	0	0	0	0.25	0	0.25	0.25	0.25	0	0	0	0.5	NA	0	0.25	0	0.25	0.25	0.5	0	0.25	0	0	0	0	0.75	0.25	0.25	0	0	0.25	0	0	0.25	0	0	0
Slc39a1	0	0	0	0	0	0	0.25	1	0	NA	NA	0	0.25	0	0	0	0.25	0	0.75	0	0	0	0	0.25	0	0	0.5	0.5	0	0.25	0.25	0	0.25	0.5	0.25	0.25	0.25	0	0.5	0.5	0	0.25	0.5	0.5	0.25	0	0.25	0	0.25
Slc39a2	NA	1	1	1	1	1	NA	1	1	1	NA	1	1	0.5	0.25	0.5	0	0.25	1	1	0	0	NA	NA	0	0.25	1	0.75	0.5	1	0.5	0	0.75	1	NA	0.75	0.75	NA	0	0.75	0.75	0.75	1	0.75	0.25	1	0.75	1	1
Slc39a3	1	1	1	1	1	0.75	NA	1	1	1	1	0.75	1	0.25	0.25	0.25	0.25	0.5	0	0	0	0.25	0	0	0.5	0.25	1	1	1	1	0.75	1	1	1	0.75	0.75	1	0.75	0.75	0.75	0.75	0.5	1	1	0.75	NA	0.75	1	1
Slc39a4	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0	NA	0	0	1	0.5	0	0.5	1	0	0.75	NA	0	0	0.5	0.5	0.25	0.75	0	0.5	0.75	0	0	0.25	0.25	0	0
Slc39a5	1	1	1	1	1	1	0.5	1	1	1	1	1	1	0.5	0	0.75	NA	0.25	0	0.5	0	0	0.25	0	0.5	0.25	1	0.5	0.5	0.75	0.75	0.25	1	0.75	0.25	0.75	NA	0.75	0.75	0.75	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	0.75
Slc39a6	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.25	0	0.75	0	0.25	0	0	0	0	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.75	0	0	0	0	0
Slc39a7	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0	0.25	0	0.5	0	0	0.25	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0.25	0.25	0.25
Gm561	1	0	0.25	0	0	0	NA	0	NA	1	1	0	0.25	NA	0	0.25	0	0	NA	0	0	NA	0	NA	NA	0	0.5	NA	0	0.25	NA	NA	0	0	0.25	0.5	1	0	0.5	0.25	0	NA	0.25	0	NA	NA	0.25	0.25	0
Alg5	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.75	NA	0.5
Gpr146	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.5	0.25	0.5	0.25	0.25	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0.75	0.25	0.5	0.25	0.25	0.25	0.5	0.5	0.25	1	0.5	0.5	0.25	0.75	0.25	0.75	0.5	0.75	0.5	0.5	0.25	0.25
Kdelr1	0	0	0	0	0	0	NA	0.25	NA	0.25	NA	0.5	0.25	0.25	0	0.25	0	0	0.25	0	0	0	0.5	NA	NA	0	0.25	0.5	0	0.25	0.25	0	0.25	0.25	0.25	0.25	0.5	0	0.25	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25	0	0.25
Gpr141	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA
Gpr142	0.5	1	0.75	1	1	1	NA	NA	1	1	1	1	0.75	NA	0.5	0.75	0	0.25	0.25	1	0.25	0.25	0.5	NA	NA	0.25	1	1	0.25	1	1	0.5	NA	1	1	0.75	1	NA	0.75	0.75	0.75	0.75	1	1	1	0.5	0.75	1	0.75
Gpr143	0	0	0	0.25	0.25	0	0	0	NA	0	1	NA	0.25	NA	NA	0.25	1	0.25	0.25	0	0	1	0	NA	NA	0.25	1	0.5	0	0.75	0.25	NA	0.75	1	0.75	1	1	NA	0.25	0.5	NA	0.25	0.25	1	1	0.25	0.5	0	0
Gpr149	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	NA	NA	0	NA	0	0	0	NA	NA	0	0	0	0	0	1	0.5	0.25	0	0.25	0.5	NA	0.5	0	NA	NA	0	0.25	0	0.25	0.25	1	0.5	0.25	0	0
Mir10b	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	1	0	0.5	0	0.5	0	0	0	NA	1	0.25	0.75	0.25	0	1	0.25	0	0.5	0.25	0	0.25	0.25	0.75	0	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0	0
Mir10a	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.25	0	0.25	0.5	0.25	0.5	0	0.25	0.25	0	0.25	0	0	0	0.25	0	0.75	0.25	0.75	0.5	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0	0
Sipa1l1	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.75	0.75	0.5	0.25	0.25	0.5	0.25	0	0	0.5	0	0.5	0.25	0.25	0	0.25	0	0.25	0.5	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.75	0.25	0.25	0	0.25
Sipa1l3	0	0	0	0	0	0.25	NA	0	0	0	0	0	0	0	0.25	1	0.5	0.25	0	0	0.25	0	1	NA	0	0	0.75	0.25	0.25	0.5	0.5	0.25	0.75	0.75	0.25	0.5	0.5	0.25	0.25	0.75	0	0.5	0.5	1	0.5	0.75	0.5	0	0
Sipa1l2	1	0.75	0.75	0.5	0.75	0	1	NA	NA	0.75	0.25	0.75	1	0.75	0.75	0.75	0.5	0.5	0	0.75	0.5	0	0.25	0	0.75	0.5	1	0.75	0.25	1	0.75	0.75	0.75	1	1	NA	NA	0.5	0.75	0.75	1	0.75	1	1	1	0.75	0.75	1	1
Mir7240	0	0.25	0	0	0.25	0	0	0	0.25	0	0.5	0	0	0	0	0.75	0	0	0.25	0.25	NA	0	0	0	0	0	0	0.25	0	0.5	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0	0	0.25	0.25	0	0.25
Mir7241	NA	0	0	0	NA	0	NA	NA	NA	NA	NA	0.25	0.25	0	1	NA	0	0	0	0.5	0	NA	0.5	0	NA	0.25	0.5	1	0	0.5	NA	0.25	NA	NA	NA	1	1	NA	NA	1	1	0.75	1	1	1	0.75	0.75	0	NA
Mir7242	0.5	NA	0.25	0	0	0	0	0	NA	NA	0	NA	0.25	NA	1	1	0.5	1	0	0.5	0	0.5	NA	0	NA	0.25	1	0.75	1	1	1	NA	1	NA	1	0.75	1	NA	NA	0.25	1	1	1	NA	0.75	1	1	0.25	0
Mir7243	0	0	0	NA	0	0.25	NA	NA	0	0	NA	0	0.25	NA	NA	0	0.5	1	0.25	0.25	0.75	0.75	0.5	0	0	0.5	1	1	1	1	1	0.5	1	0.5	1	1	0.5	0	NA	0.5	0.75	0.75	1	0.75	1	1	0.75	0	0
Bcan	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0.25	0.25	0.5	0	0	0	0	0	0	0	0.5	0	0.25	0	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0	0.25	0	0
C130026L21Rik	0.25	0.25	0.75	0.5	0.25	0	0.75	0.5	0.25	0	0.5	0.75	0.5	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0.25	0.25	0.75	0.25	0	0.25	0.25	0	0	0.5	0	0.75	0.75	0.5	0	0.25	0.25	0.25	NA	0.5	0.5	0.5	0.5	0.5	0.5
Bcam	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0.25	0	0	0	0.25	0.75	NA	0	0.25	0.25	0.75	0.25	0	0	0.25	0.5	0	0	0	0	0	0	0.25	0	0	0	0
C5ar2	0	0	0	0	0	0	NA	0	NA	0	0	0	0	NA	NA	0.5	1	0.25	0.25	0	0	0.5	0	NA	0.25	0.25	1	NA	0.75	0.5	0.75	0	1	0.75	0.25	NA	1	0.75	0.5	0.5	0	0.75	0.75	0.75	0.75	NA	0.75	0	0
C5ar1	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0.25	0	0.75	NA	0.75	0	0.75	NA	0.25	0.5	NA	0.5	0.25	0.5	NA	1	0.75	0.75	0	1	NA	1	0.5	NA	NA	NA	1	1	0.75	1	0	0.25	0	0.75	0	0
Flot1	0.75	0.75	1	NA	1	1	1	1	1	1	1	1	0.75	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.25	0.25	0.75	0.5	0	0.75	0.25	0.25	1	1	0.75	0.5	0.75	0.75	1	0.75	1	0.75	0.75	0.75	0.75	0.75	0.5	0.75	1
Flot2	1	0.25	0.25	0	0.25	0	0.5	0	0.25	0	0.25	0.75	0.25	0	0	0.25	0.25	0.25	0	0.25	0	0.25	0.75	0	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0	0.25	0.75	0	0.25	0.25	0	0.25	0.25	0.75	0.25	0.25	0.25	0.5	0	0.5	0	0.25
Pdcd2l	0	0	0	0	0	0	1	NA	0.25	0	0.25	0.25	0.25	0	0.25	0.25	0.75	0	0.25	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0.5	0.25	0.25	0	0	0.5	0.5	0.75	0.25	0.25	0.25	0	0.25	0	0.25	0.75	0	0.25	0	0	0
Pacrg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA
Cep250	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	NA	0.5	NA	0	NA	0.75	0.25	0	0.25	0	0.5	0	0	NA	0	0	0.75	0	0.25	0	0	0	0	0.5	0	0.25	0	0	0	NA	0	0	0.25	0	0
Gm10354	0	0	0.25	0	0.25	0.25	NA	0.5	0.5	0	1	0	0.25	0.25	0.25	1	0.25	0.5	0	0.25	0.25	0.25	0.25	0	0.5	0.25	1	1	0.5	1	0.5	0.5	1	1	0.5	0.75	1	0.75	0.75	0.75	0.5	0.75	1	1	0.25	0.75	0.75	0.25	0.25
Pmis2	0	0	0.25	0	0	0.25	NA	NA	NA	NA	0.25	0.25	0.25	0.25	NA	0.5	0	0	NA	0.5	NA	NA	0.5	0	0.25	0.25	1	0.5	0.25	0.25	NA	0.5	1	0.25	0.5	1	0.75	0.5	0.25	0.5	NA	0.5	NA	0	0.5	0.25	0.75	0	0
9830166K06Rik	1	1	NA	NA	NA	0	NA	NA	1	0	0	NA	0	NA	NA	1	1	NA	0.5	0.25	0.25	1	1	NA	NA	0.25	NA	1	0.5	0.5	0.25	0.25	NA	1	NA	NA	0.75	0.25	1	0.5	1	0	0.5	0.5	0.75	NA	0.25	0	0
Palm	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0.25	0	0	0.25	0	0	0	0.25	0	0.25	0	0	1	0	0	0.25	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0
Rps6kl1	0	0	0	0	0	0	0	0	0	0	0.25	0	0	NA	0.5	0.25	0.25	0.25	0	0.5	0	0	0.25	0	NA	0.25	0	0	0.75	0.25	0.25	0	0.5	0.5	0.5	1	0.25	0.75	1	0.25	0.25	0.25	0.5	0.5	0.25	0.5	0.5	0	0
Asb17os	NA	0.75	0.5	NA	1	1	1	NA	1	1	1	1	1	0.5	NA	0.75	1	0.75	0.5	NA	NA	1	0.75	0.25	0.5	0.25	1	1	0.75	1	1	0.25	1	0.75	0.75	0.75	1	1	0.5	1	1	0.5	1	1	1	0.5	0.75	1	1
Tuba3a	NA	0	0	1	0	0	NA	0	0	0.25	1	1	0.25	1	1	0.75	0.25	0.25	0.25	0.5	0.25	0.5	0	1	0.75	0.25	1	1	0.75	1	1	0.25	1	1	1	1	1	1	1	1	1	0.5	1	1	0.75	0.75	0.75	0.25	0.25
Morc3	0.25	0	0	0.25	0	0.25	0.5	0	0	0	NA	0.75	0	0	0	0	0	0.25	0	0.25	0	0.5	1	0	NA	0	0.25	0	0	0	0.25	0	0.75	0.75	0	0.25	0.25	0.25	0.25	0	0	0	0	0.5	0.25	0.25	0	0.25	0
Tuba3b	NA	0	0	NA	0	0	0	NA	NA	0	NA	NA	0.25	0.5	0.75	0.75	0.25	1	NA	0.75	0.25	0.25	0.5	1	0.75	0.5	NA	1	1	NA	NA	0.5	1	1	0.75	1	NA	1	0.75	1	0.5	0.75	1	1	1	1	0.75	0	0
Morc4	0	0	0	0	0	0	0	0	0	NA	0	0.25	0	0.5	0	1	0	0.75	0.75	0	0.5	0.25	0.25	0	NA	0	0	0	0	0	0	0	1	1	0	0	0.75	0.75	1	0.25	1	0.5	0.5	0.25	0.25	0.75	0.25	0	0
Mlxipl	0	0	0	0	0	0	0	0	0.25	0.5	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0	0	0.25	0	0.25	0	0.25	0	0.25	0	0.25	0.25	0.25	0.25	0.25	0.75	0.75	0.25	0.5	0	0.25	0	0.25	0	0.25	0	0.25
Mia	NA	NA	1	1	1	NA	NA	NA	1	1	NA	0.75	1	NA	0	0	0	0	NA	NA	NA	NA	0	0	0.25	0	1	NA	0	0.25	0.5	0	1	0.5	0.25	0	NA	0	NA	0.5	0	0.5	0.5	NA	NA	0	0.25	1	1
D630045J12Rik	0	0	0	0	0	0	0	0.5	0	0	NA	0.75	0	0	0	0	0.25	0.5	0	0.25	0	0	1	1	0.75	0	0.25	0.25	0	0	0.25	0	0.25	0	0	0.25	0	0.5	0	0	0.25	0.5	0.25	0.75	0.25	0	0.25	0	0
Gm14501	1	0.25	0.75	NA	0	0.5	NA	NA	0.5	NA	NA	0	0.5	1	NA	NA	0.5	0.25	0.25	NA	NA	NA	NA	NA	NA	0.5	1	0.5	1	NA	1	0.5	NA	NA	1	1	0.75	NA	NA	1	NA	NA	NA	NA	0	NA	0.75	0.75	0.25
Mif	0.25	0.25	0.25	1	0.25	0.25	0	0	0.25	NA	0.5	0.5	0.25	0.25	0.25	0.25	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0.25	0.25	0.25	0.25	0.25	1	0.75	0.25	0	0	0.25	0.5	0.25	0	0.25	0.25	0.25
Gm15455	0	0	0.25	0.5	0	0	NA	NA	0	0	0	0	0.25	0.75	0.25	0.5	0.5	0.25	0	0.75	0.25	0	0	0.25	0.75	0.25	1	NA	1	0.75	0.75	0.25	1	1	0.75	1	0.75	1	0.75	0.75	0.5	0.5	1	NA	0.5	0.5	0.75	0	0
Yeats2	NA	0.75	0	0	NA	0	NA	1	0.25	0.25	0	0.25	0.25	0	0.5	0.5	0	0	0.25	0	0.5	0.25	0.5	0	0	0	0.5	0.25	0	0	0.25	0	0.25	0.25	0.5	0	0.25	0.5	0.25	0	0	0.25	0	0.5	0.25	0.25	0.25	0.5	0
Tomm20l	0	0	0	NA	0	0	NA	0	0	0	0	0.5	0	NA	0	0.5	0.25	0	0	NA	0	0.25	0	0	0	0	0.75	NA	0.25	1	NA	0	NA	0.25	0.25	0.5	0	NA	NA	0.5	0	1	0.5	NA	NA	NA	0.5	0	0
Cyp2w1	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.5	1	0.25	0.25	0	0.5	0	NA	0	0	0.5	0.25	1	1	0.5	0.5	0.75	0	NA	0.75	0.75	1	1	1	0.5	0.75	0.75	0.5	0.75	0.75	0.75	0.5	0.75	0	0
Yeats4	0	0	0.25	0	0	0	0.75	0.5	0	0.5	0.75	0	0	0.75	0.25	0.75	0.5	0.5	0.5	0.5	0.75	0.25	0.25	0.25	0.5	0	1	0.5	0.25	0	0.25	0	0.5	0.25	0.25	0.5	0.25	0.75	0.5	0	0.5	0	0.75	0.25	0.5	0.5	0.25	0.25	0.25
Pitrm1	0	0.5	0	NA	0	0.5	0.25	0	0.25	0.25	0.5	0	0.25	0	0	0.5	0.5	0	0.5	0.25	0.75	0	0.5	1	0.5	0.25	0.25	0.75	0.25	0.25	0.5	0.25	0.5	0.25	0.25	1	0.25	0.75	0.5	0	0.25	0.25	0.75	0.5	0.5	0.25	0.25	NA	0
Vwf	0	0	0	NA	NA	0	NA	0	0	0	0	0	0	0.5	0.5	NA	0.5	0.25	NA	0.75	0.5	0.5	0	NA	1	0.25	1	NA	0.75	1	NA	0.25	NA	1	1	1	1	1	NA	0.75	0.25	0.5	0.75	1	0.75	0.75	0.75	0	0
Fam50b	0	0	0	0	0.25	0	NA	0	0	0	0.5	0	0	1	NA	NA	NA	0	NA	0.5	1	0.5	NA	NA	NA	0.25	1	1	NA	NA	0.75	0	0	0	NA	0.5	NA	1	NA	NA	NA	NA	NA	1	1	0	0.75	0	0.25
Fam50a	0	0	0.25	0.5	0	0	NA	0	0	0	0	NA	0.25	0	0	NA	0.25	0	NA	0	0	0	0	NA	0	0	0	NA	NA	NA	0.25	0	1	NA	0.25	0	0	0.5	0	0	0	0	1	0	0.25	0	0.25	0	0
1700003M02Rik	0.5	0.25	0.25	0.25	0.75	0.75	NA	NA	0.5	0.25	0.25	1	0.25	NA	0	NA	0	NA	0	0	0	NA	0	NA	NA	0	0	0.5	0	NA	0	NA	0.25	0	0	NA	NA	NA	NA	0	0	0	0	0	NA	0	0.25	0.25	0.5
Olfr908	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	0	0.5	0	NA	NA	1	NA	NA	NA	NA	NA	0	NA	0	0.25	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	0	0.5	0	0
Olfr901	NA	0.5	0.75	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	0	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	1	NA	NA	1	NA	NA	NA	0.75	NA	1
Olfr900	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0	NA	NA	NA	0.5	1	1
Arhgef39	0	0.5	0.25	0	0.25	0.5	0.5	0.5	0.25	0.25	0.5	0.25	0.25	0	0.5	0	0.25	0	0	0.5	0.25	0.5	0	0.75	0	0	0.5	0.25	0.75	0.5	0.5	0	0	0.25	0.75	0.75	0	0	0.5	0.25	0.25	0.25	0.75	0.25	0.5	0.75	0.25	0.5	0.25
Olfr905	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	0	0
Olfr904	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0	0.25
