mES_Serum_r1	mES_Serum_r2	mES_2i_r1	mES_2i_r2	mES_2i3p_r1	mES_2i3p_r2
Ccl26	0	0	22.3186	23.4882	34.3656	0
Ccl24	0	0.370694	0	0	8.39534	0
Nsun5	7.24408	6.09259	0	0	21.1063	30.4296
Pom121	20.2609	8.56622	8.42592	8.4216	0	4.87697
Gtf2ird1	23.5633	24.014	17.4398	20.3068	0	3.89049
Rhbdd2	3.99668	59.967	3.28399	7.46486	5.5207	7.91735
Hip1	8.15606	0.110967	8.18431	4.01583	4.20685	15.6855
Styxl1	0.218454	29.184	18.6825	0	15.892	0
Tmem120a	12.2019	33.6714	0.335294	22.7017	0.0631312	13.0196
Por	11.9525	0.345217	18.1441	21.4905	20.6058	20.0378
Srrm3	0.253524	293.59	0.258912	0.178042	0.172156	0.0673343
Mdh2	102.446	393.274	161.327	192.2	164.916	127.899
Hspb1	134.604	4.35733	192.684	179.877	332.351	297.394
Srcrb4d	1.20999	1.78681	1.31252	1.5795	1.30861	1.04825
Zp3	1.99342	0.917975	0.767444	0.120631	5.4129	4.7884
Upk3b	0.11495	0.298327	0	3.17237	0	0
Dtx2	5.26304	18.4805	0.29141	5.06348	0.299695	6.67144
Upk3bl	0.883969	5.51918	5.12804	0.525421	7.80686	0
Rasa4	2.25306	111.117	2.67908	2.3701	4.41755	4.05165
Polr2j	49.1585	0.79463	67.2344	111.003	60.6634	69.4237
Lrwd1	16.0946	9.94613	5.30661	64.224	5.99851	15.2512
Alkbh4	4.54062	48.5628	14.2207	1.1232	1.06928	6.86715
Orai2	0.749329	15.1372	1.85433	17.4587	18.5845	0.861173
Prkrip1	12.8709	1.9829	11.0493	10.9671	0.2079	0.190242
Sh2b2	0.874721	0	0.914075	7.46547	10.2763	8.28344
Myl10	0	0.192897	103.1	0.585487	0	0
Rabl5	2.40289	7.21254	0	0	0.622634	0.251494
Col26a1	0.336337	239.142	0.966634	0.530493	3.6021	5.9767
Cux1	11.3709	5.51904	3.81613	3.73773	2.26417	138.134
Mir721	0	13.3863	3.39584	4.81742	166.831	2.39946
4933404O12Rik	4.48938	0	0.294433	0.402441	12.2658	12.1454
Cldn15	0	0.0780658	16.0566	15.9173	0	0
Ywhag	132.016	75.9041	0	0	0.388751	0
Fis1	42.0252	1.38278	43.6566	43.3194	52.4952	47.5068
Vgf	0.626831	37.1424	0.926604	0.376507	0.701792	0.107155
Ap1s1	11.7833	45.5719	22.3535	0	28.5035	28.677
Znhit1	9.97846	21.1717	0	26.7773	20.4753	24.9403
Plod3	11.0586	0	0.984383	15.9323	16.4535	12.798
Mir702	0	0	1.54508	2.7822	0	0
Ache	0	1.02305	15.9467	1.15994	1.57546	0
Trim56	1.49923	5.06384	19.3692	13.209	0.0925041	1.64586
Ufsp1	1.2048	69.7205	10.4817	11.6121	3.10396	3.38611
Serpine1	36.327	27.6168	0	0	63.4057	25.6484
Slc12a9	2.73563	6.44216	12.4724	12.9194	14.6335	2.09983
Trip6	18.5588	0.0158226	2.40634	2.98628	2.47466	12.5029
Zan	0	0.501325	0	0	0.028205	0.00768351
Epo	0.208866	33.6256	0	0	0	0
Pop7	8.51053	15.088	13.8221	14.9631	16.6724	12.4756
Ephb4	8.33404	20.4745	10.362	0	17.658	11.5909
Srrt	29.2102	116.584	0.177549	11.6282	65.6923	0
Actl6b	0	0.36632	0	0.406239	16.5978	14.6032
Gigyf1	12.3503	0.0956287	14.6599	18.7892	0	0.092378
Tfr2	0.34755	30.7079	43.9278	12.0481	0.100979	12.2004
Gnb2	33.4951	75.7797	47.2322	44.4434	64.765	47.7317
Mospd3	9.06442	0.690739	14.1474	50.5032	18.1072	52.8432
Fbxo24	0.269206	69.7009	0	0	0.280907	0.064471
Pcolce	17.6228	0.557794	23.8405	24.9758	60.1991	55.1755
Irs3	0.147984	11.4681	0.340353	0.10364	0.0429237	0.108253
Nyap1	1.68871	4.04944	6.67536	2.34835	1.66811	1.48556
Agfg2	3.3188	19.4636	1.53774	6.64427	8.52666	5.88093
Ppp1r35	6.78607	23.2135	13.7112	14.821	12.1316	9.39856
Tsc22d4	8.84286	40.596	14.0048	10.4887	16.4167	14.8672
Pilrb1	0	4.01084	6.58257	0	5.31251	0
Pilrb2	0	15.4968	3.04241	0	3.48793	0
Mepce	13.1267	0	1.7742	0	19.9707	0.182796
Gjc3	0	30.195	0	0	0	11.7559
Azgp1	0	0	0	0	0	4.93659
Cyp3a13	0.0382082	0	0.0878339	14.7854	0.0570535	5.37621
Lrch4	10.1448	13.8532	12.966	0.241178	0	1.08644
Gm20605	1.34267	0.0172557	4.80807	0	0	0.0863232
Sap25	3.15818	0	3.12154e-07	4.60957	0	15.6547
Smok3b	0	0	0	2.4901e-07	0	0
Smok3a	0	0.0935387	0	10.2077	23.0493	0
Zcwpw1	12.6205	0	0	2.28464	1.9361	0
Pilra	0.198034	2.47427	0	3.90803	0.092298	0
Zkscan1	2.37753	1.14154	1.79336	2.00578	3.75907	1.47948
Zfp113	1.4867	17.929	0.999738	1.20104	1.64005	3.63515
Zscan21	10.0302	137.26	11.0105	12.3703	12.4333	11.8443
Cops6	65.7291	0	83.9796	86.7038	89.6017	89.8911
Nxpe5	0	1.86183	0	0.59965	0	8.89052
Mblac1	0.765642	9.7626	0	0	0.992136	0
Cnpy4	7.35078	0.239248	9.53623	11.0668	9.80031	0.689722
BC037034	4.17645	23.9173	16.417	2.87264	9.91731	10.8586
Lamtor4	10.8935	5.08365	1.99026	12.7576	23.1086	8.44134
Ap4m1	2.9978	9.91436	4.65405	0.224324	0.340785	20.3042
Taf6	26.104	8.80716	20.0923	3.20986	15.1288	3.65424
Gal3st4	0.142103	39.3918	0.326632	4.82104	2.34005	0.297376
Gpc2	2.09542	2.21479	3.3045	19.9589	4.61435	1.7444
Stag3	9.41931	13.8411	5.09576	116.085	5.90202	5.01998
1700123K08Rik	0	0	3.07234	0	3.3515	0
Zfp157	5.23342	1.22627	0	0	156.311	3.90812
Mcm7	127.33	2.081	0	0	0	1.88202
Mir25	0	1.82854	2.05541	6.3234	0	0.719085
Mir93	0	0.214745	0.345528	3.52941	0	0
Mir106b	0	1.20538	11.4626	0	0	3.61642
Gm5294	0.239359	223.707	0.89628	0	0	127.356
Fam20c	0.450932	80.4858	101.216	0.632579	0.786223	0
A430033K04Rik	2.06264	17.2055	0	14.6737	2.92154	0
Prkar1b	1.29933	21.8216	0	1.78169	3.77732	0
Pdgfa	10.8475	40.3167	0	1.27497	0.490406	0.414574
Zfp68	4.77619	21.6663	8.41812	4.04495	62.8831	50.9924
Heatr2	8.15226	30.7216	4.02751	11.1936	13.4807	11.345
Cyp2w1	0	0	19.7306	20.2184	28.8021	24.89
Cox19	7.81252	18.5203	0	0	11.2492	10.5248
Sun1	15.7564	29.1686	7.25287	6.81528	0	0
Adap1	7.21166	0	9.81461	14.2109	15.743	12.0347
Get4	18.7357	0.0850996	28.0132	0	29.3998	25.5193
Mafk	4.81323	1.01362	3.50091	0	0	0
4930500L23Rik	0	5.59671	0	27.1329	0.0484475	0
Micall2	0.869414	59.0072	0	5.34909	5.7022	1.15944
Zfand2a	3.63084	40.5182	1.07596	1.33763	2.12943	4.55797
Uncx	0	0	4.33405	4.97806	20.6239	9.30209
Psmg3	10.718	0	1.02548	0	0	0.276643
Tmem184a	2.42376	0.0583295	7.35581	0.934489	0.0425262	2.49499
Ints1	9.82265	0.107042	0.465377	12.1299	0.308713	0.0762736
3110082I17Rik	17.6163	0.111616	9.20452	30.1971	0.0507774	17.4395
Mir339	0	1.05931	27.1837	0	0.397304	0
D830046C22Rik	0	7.1421	0	0	3.39046	0
Gpr146	0.135969	0.540658	0	0.114582	0.149604	0.0974908
C130050O18Rik	0.116874	24.3326	0.249961	0	9.44285	0
Gpr30	0	11.253	0	0	0.378845	0.218432
Elfn1	0.202522	26.8407	0	10.3166	16.7485	12.1818
Ftsj2	4.17463	41.502	15.6761	14.6065	10.3209	7.97567
Mad1l1	12.6059	604.579	10.3369	8.01792	19.5633	15.8033
Nudt1	11.262	33.6482	5.69129	18.8797	19.683	18.275
Snx8	10.6851	13.5963	8.83684	10.8353	10.1556	7.31574
Chst12	4.46306	0.0953141	0	7.40116	0	0
Grifin	0	2.31887	0.814531	1.16904	7.28375	5.42904
Lfng	1.16359	11.2556	7.97262	0	0.704219	0.42395
Ttyh3	5.79769	4.25925	5.52269	0.356509	6.05382	4.44899
Iqce	2.32463	15.8651	2.3802	7.00523	3.17815	2.68717
Amz1	0.974793	0.687057	114.864	3.8343	0.14768	0.50707
Brat1	2.64982	9.15618	0.389788	13.7105	0.0469258	2.44308
Gna12	13.5768	0.041166	2.20118	0.113233	15.2821	0.160548
Card11	0.0268687	29.843	0.123472	2.52011	3.39149	10.9959
Sdk1	0.189313	0.255673	11.5718	0.266434	0.905764	0.557478
Eif3b	115.27	5.30139	0.144905	2.5106	154.19	3.94261
Ap5z1	2.55801	0.331122	2.29489	0.910498	4.5365	3.19644
Foxk1	4.54761	5.74343	1.53632	2.96497	4.05999	0.129813
Mmd2	0.325221	0.64071	6.811	129.998	0	1.69912
Radil	6.98619	10.1968	0.226902	6.56105	2.11166	0.531424
Papolb	1.03589	11.0861	0.374072	0.725483	0.515084	130.403
Fbxl18	3.7217	233.044	3.74021	13.9957	2.33895	2.52997
Slc29a4	3.61971	36.7915	11.4569	5.56056	19.2173	17.7081
Wipi2	25.638	17.8023	2.57606	3.45144	4.95204	2.68074
Tnrc18	6.07495	10.398	6.36035	5.7738	23.9668	17.0076
Tff1	0	0	0	0	0	0
Cngb1	0	0	0	0	0	0
Fscn1	56.654	0	0	0	0.831748	0
Gm3925	1.34565	2.62576	0	0	4.38628	0
Spdyb	0	0.0199025	0.793884	0	153.107	8.77266
4933411G11Rik	0	5.48033	0	3.09864	15.3169	4.23932
4930448H16Rik	0	3.32348	2.30635	2.07309	0	0
Rbak	2.91011	0.534091	3.67747	0.529475	0	0.262156
Zfp12	3.66584	0.0164546	10.5974	9.64258	0	0
Zfp316	0.345001	0.404479	0.432177	3.31873	0.260648	3.54763
Rnf216	11.5935	16.8796	0	1.83548	5.16331	0.0781899
E130309D02Rik	10.2436	16.2585	7.76905	8.21713	10.1466	0
0610040B10Rik	1.37061	18.5812	11.3564	0.203881	0.376519	121.06
Zdhhc4	6.64927	0.410046	0.222524	11.7756	11.573	12.5012
Grid2ip	0.225923	3.399	113.771	129.1	0.0759572	8.7859
Daglb	1.38349	43.9386	35.8938	35.1007	0.69383	0.661716
Kdelr2	30.265	186.05	1.90794	1.31055	58.3849	55.7494
Fam220a	7.92808	14.4694	58.157	8.21882	1144.7	4.7628
D130017N08Rik	0.421383	6.43093	5.74111	0.14716	5.76177	0
Cyth3	4.35742	0.471047	0	6.89004	4.17887	3.9099
Rac1	76.8901	73.7378	4.78341	5.50357	89.1597	5.44969
Usp42	6.23837	9.278	6.33656	69.3126	0.24365	72.8638
Pms2	6.90339	9.7175	586.625	670.725	6.93614	8.75246
Ocm	0.203593	0	7.01668	8.32476	7.89681	0
Eif2ak1	12.0072	23.6588	0	0	0	16.6524
Aimp2	31.4638	85.0222	32.395	46.1585	22.4854	42.5518
Ankrd61	0.163351	0.124336	0.293529	0.80686	44.1871	0
Ccz1	34.2091	32.572	2.01146	2.34789	0.212138	0.114519
Bhlha15	0.223513	4.51174	6.05867	6.57687	36.462	37.21
Tecpr1	1.75088	0.792052	16.0954	19.7766	0.139304	2.50448
Lmtk2	12.3965	19.947	44.8859	44.4839	9.3749	7.55026
Nptx2	3.27127	37.9866	0	0	3.77623	6.70294
Tmem130	0.0415584	0.123459	0	0	10.4188	0.149155
Bri3	37.5412	1.3844	4.22482	7.25393	0.0362069	36.5939
Gm15708	0.0674709	0.228826	0	0	43.3515	0.0808725
Baiap2l1	3.38285	14.0588	0	42.4842	0.0585444	0.784231
Kpna7	0	0.0471931	36.6244	0.141428	0.843002	0
Gm4871	0	0	0	6.03118	0	0
1700018F24Rik	0	0	4.36371	0	0	8.88965
Actb	891.362	12.8626	0	0	0	0
Smurf1	9.04758	21.3655	6.47179	6.01711	8.69608	42.4117
Trrap	9.77211	62.3161	48.4323	5.87463	11.0119	7.33598
Arpc1a	39.3237	75.9512	5.31092	54.4112	51.3759	48.1013
Arpc1b	33.0498	65.7668	53.023	58.8521	59.3603	1060.66
Bud31	56.1972	10.2474	19.4128	47.9301	82.6526	74.9856
Ptcd1	4.62839	112.858	61.6013	8.75677	58.9413	18.3272
Cpsf4	18.0666	42.7994	7.82758	22.2263	9.5346	62.7371
Zkscan14	2.25202	1.95382	114.752	121.907	21.9854	8.32196
Atp5j2	235.748	312.512	0.272722	1.61663	1.8536	1.49083
Pdap1	99.2726	8.86048	355.353	395.385	296.263	6.27374
Zkscan5	5.77118	8.06568	5.48444	5.57399	7.27839	316.798
Cyp3a16	0	0	0	0	7.25047	5.0213
Cyp3a57	0	0	0	0	0	0
Cyp3a41a	0	0	0	0	0	0
Cyp3a11	0	13.3741	0	4.89158	0	0
Cyp3a59	0	0	2.83942	0	0	18.9834
Zscan25	4.50531	0	0	0	18.5884	0
Cyp3a44	0	0	0	0	0	0
Cyp3a25	0	0	0	0	0	0
1700001J03Rik	0.371132	0.0558212	20.8972	0	0	0
Rnf6	10.2439	11.7432	7.28018	22.5545	0	0
Zfp655	48.473	26.6654	0	9.5063	8.201	6.12412
Gm6408	0	0	0	0	0	0
Wasf3	16.402	0	13.6426	0	0	0
Gm6370	0	0	0	0	0	0
Gm3404	0	0	23.5529	0	0	0
Gm3409	0	21.9729	0	0	9.67303	0
Cdk8	27.3515	0	0	0	0	0
Gpr12	0	0	0	0	0	0
Gm3415	0	0	0	27.3834	0	16.4037
4930449I24Rik	0	0.0627083	0	12.9234	0	7.70747
Gm3402	0	11.8586	0	0	18.3791	0
Usp12	9.91882	2.88974	8.41636	11.308	9.93601	8.9704
Rasl11a	1.14795	2488.6	1.32385	0.717496	0.790998	1.10461
Lnx2	4.742	42.3509	3.66853	4.53883	5.05152	4.22049
Gtf3a	34.1922	10.3636	39.5357	0	26.5087	24.4014
Mtif3	4.2114	7.31951	6.8578	0	5.82588	6.25074
Gsx1	0	137.487	0	0	1.36747	0
Cdx2	0.271158	0.0838548	0	0.25692	0	0.974103
Prhoxnb	0	0.635437	0	39.8815	1.80523	0
2210019I11Rik	0	0	4.11693	7.30447	0	0
Pdx1	0	0.993876	1.1394	4.09935	0.0265483	0
D5Ertd605e	0.493814	1.12214	161.696	159.825	0	117.451
Flt3	0.243351	0	0	0.837858	0	0
Polr1d	112.711	0.0889614	0.224892	6.30241	130.818	2.67455
Pan3	6.97604	1.3507	6.32343	0	1.02685	0.597979
Flt1	2.26191	185.634	0.872447	0	12.0652	273.768
Slc46a3	3.65373	10.8957	1.85513	1.59553	0.743445	11.7935
Mtus2	1.27191	1.13139	347.785	136.851	1.1254	0.624717
Pomp	70.8392	145.88	0.951748	1.02554	118.193	1.05791
Rpl21	270.002	0.850814	137.449	0	304.076	111.089
2210417A02Rik	0.310667	0.55385	0	0	1.04017	1.13698
Gm15408	0	10.6854	17.4731	1.07824	0.0777119	0.715606
Ubl3	23.2678	0.054675	9.32446	0.187847	0.138524	0.0996222
Slc7a1	25.0082	0	0.850038	11.8376	0.708968	0
8430423G03Rik	0	31.0257	0.570904	373.854	28.933	25.0804
Katnal1	1.42753	0.864998	0.20707	17.6862	30.2728	26.2931
5730422E09Rik	0	0	0	0	0	0
Gm8615	9.19341	18.2949	5.66192	9.85667	12.8343	8.50361
Alox5ap	1.47192	0.0423514	0.756032	0.744893	0.92577	0.286277
Wdr95	0	0.0721281	0.542667	2.9727	1.39807	0.0552601
Tex26	0.832767	0.963013	0	2.03172	0.307206	0.42353
Medag	0.511445	2.07155	0.82333	0	0	1.18456
Hmgb1	166.724	24.3951	17.4143	196.064	25.2848	24.281
Hsph1	24.7069	91.9929	192.853	40.7426	179.817	0
Uspl1	18.8353	2.67715	35.2489	18.9032	0	3.96032
Rxfp2	0.0329862	0.020201	0	0	4.20608	185.898
B3galtl	4.83878	0	0	0	0	0
Gm5	0	0	4.05761	0	0	52.2852
Zar1l	0.158115	1.62693	0	3.77385	3.69769	0
Fry	1.71316	0.132208	1.66943	1.36721	56.5113	2.42522
N4bp2l1	1.17591	4.08615	0.28484	0.129822	0.0537485	0.222457
N4bp2l2	7.58348	0.0130973	6.14506	6.75988	6.55679	6.75187
Kl	0.0213574	0	6.85977	6.96164	0	0
Vmn2r18	0	1.00301	0	0.288124	0.460652	0
Stard13	0.624465	7.1217	0	0	0	0.349614
Rfc3	19.6635	93.8939	0.537863	10.811	26.7083	26.0222
Pds5b	13.5667	34.2688	10.4757	0.101364	11.6783	11.369
Brca2	12.6982	10.5187	28.936	25.5289	12.0247	9.94395
Hepacam2	0.103583	0.484357	0	0	0	0
Gm8579	0.201635	0.0158238	0	0.108781	0	0
Samd9l	0.696199	0.514894	0.75257	0.431829	3.5261	3.54657
Gngt1	0	0	11.0965	0	0.630588	0.485436
Tfpi2	3.56042	1.05947	0	0	0	0.168416
Gng11	2.86069	2.94183	0.745449	3.13383	6.32478	7.92503
Bet1	6.18877	0.20679	5.97166	7.69732	5.57359	6.92504
Calcr	0.321558	0	1.94514	11.3311	0	0
Mir653	0	0	0	0.203127	0	0
Mir489	0	9.21499	0	0	0	0
Ccdc132	9.88494	5.90605	0	0	16.0069	14.0982
Casd1	3.07169	1.79141	1.62891	2.17751	1.85622	1.87109
Sgce	5.15795	1.01239	6.18093	4.58865	2.32857	3.06282
Col1a2	28.9944	0	0	29.618	0	0.790388
Pon1	0	0.366166	13.9064	0.419463	3.59252	0
Ppp1r9a	3.7596	0.0626468	0.156766	0	0.864544	1.69421
Peg10	31.4444	1.7427	1.64921	1.47651	1.88936	2.59003
Pon3	0.600279	2.29349	0.921093	1.63406	0.178479	3.35752
Pon2	1.79221	0.103451	1.47307	1.75351	2.6625	1.45733
Asb4	0.238722	0	32.6064	0.143587	2.87759	0.244661
Pdk4	1.32571	1.56226	2.22937	16.3049	0	0
Dync1i1	0.042827	30.526	0	0.0900502	0	0
1700019G24Rik	0	42.2141	0	0	0	0.113272
Dlx5	0	31.4974	18.5542	24.7294	0	162.386
Shfm1	142.305	0.0573495	0	0	0	0
Dlx6as1	0	0.193311	199.892	230.052	0	0
Dlx6	0	8.12313	0	0	170.925	0
Dlx6as2	0	143.43	0	8.85021	31.3314	0
Slc25a13	27.6624	0.00795848	0	0	0.109742	8.33784
Acn9	8.07733	0.111053	0	0.254266	5.46087	30.7948
Tac1	0.383	0	15.9055	0	11.8017	138.175
C1galt1	10.8058	3.66243	10.9334	12.113	0	12.0609
Col28a1	0.0521586	0.00799206	0	0	5.89332	0
Gm16039	1.3371	23.6984	5.44797	6.63692	1.39529	5.56003
A430035B10Rik	0.0608119	5.4142	0	1.23581	60.1861	0
Mios	9.69301	0.0742408	0.984252	0	1.12497	1.28083
Rpa3	37.9865	0	0	2.48056	0.0528213	0
Glcci1	1.71358	0.800546	84.4083	0	0	65.3085
Nxph1	0	1.9471	0	1.57236	1.07807	1.52438
Ica1	3.37626	0	1.2048	0	0	1.14567
AA545190	0	1.85581	2.58916	73.2977	196.598	0
Ndufa4	148.541	166.346	207.769	223.657	218.689	216.12
Asns	180.765	0.623346	272.996	301.914	0.117913	0
Gm6578	0.137378	232.619	0	0	0.272096	0.220221
Thsd7a	0.194219	0.166974	0.200666	0.10254	0	0
1700016P04Rik	0	0	0	0	0	0
Vwde	0.0278177	0	11.0723	0	6.11864	5.8903
Phf14	14.5904	1.87799	6.41583	5.14488	14.7094	13.4921
Tmem168	6.3194	0.18735	0	6.06243	5.40462	6.09654
Tmem106b	11.2092	0	0.0879625	13.8879	0.133416	0.366128
Gpr85	0.535696	8.24153	5.27005	0.0805095	6.61447	6.47003
B630005N14Rik	6.61422	14.2698	0	5.78859	10.81	0
Ppp1r3a	0	3.6074	4.44156	11.8821	0	0.0805744
2610001J05Rik	7.11724	1.32426	12.134	0.142359	0.118028	318.372
Foxp2	0.250218	0.0258746	0	2.94398	8.2836	11.2153
Mdfic	3.83679	3.12398	0.116221	0	0.116127	0.160395
Tfec	0.0669107	0.163256	2.98913	0	342.098	7.42486
Cav2	1.15897	0.283461	0.639652	14.7192	1.25112	0.887695
Tes	8.08466	8.08981	5.06645	0.389758	14.8935	10.2947
Met	1.56181	0.658863	11.6742	4.15801	0.711523	0.563388
Cav1	5.78665	4.34715	0.896731	1.13283	11.9913	11.127
Wnt2	0	0.0263801	0	0	0	1.11447
Asz1	0.0686202	0.0672971	0	0.115655	0	0
St7	2.20766	0.874474	1.7242	0.786948	1.25964	0
Capza2	56.3189	0.0418485	49.7669	56.1755	70.5738	68.5257
Cftr	0.120389	0.398983	0.0790006	0.108856	0	0.0410772
Cttnbp2	0.0916023	0	0	43.8877	1.73014	1.48786
Ankrd7	0	0.0148216	0.0555452	0	0	0
Kcnd2	0.0483542	50.17	46.9995	0.734292	0.0211215	35.5555
Naa38	46.8597	0.225084	0.58911	0.386865	0.160239	0.0288874
Tspan12	0.552153	64.6534	0.211622	0	39.3653	0.165196
Cped1	0.357767	7.53815	6.18502	5.60718	0.187589	5.86868
Ing3	7.7788	0.197832	0.166026	0	0.46896	0.08647
Wnt16	0.0721162	0.130253	0.0513674	0	6.58336	0.400698
Fezf1	0	0	0	0	0	0.2229
Ptprz1	0.400078	0	0.15312	0.309653	0.0786449	0
Fam3c	16.3831	0.147346	0.62119	0.569366	0.58352	0
Aass	1.05123	0.202401	17.2601	0.0641794	0	14.34
Slc13a1	0	0	0	18.3186	0	0
Tas2r118	0	15.6437	0	0	14.4543	0
Iqub	0.0914161	0.0280002	0.0700263	0	0	0.356026
Asb15	0	0	0	0	0	0
Lmod2	0	0	0	82.0978	0.26039	0
Ndufa5	28.9771	0.245961	66.4713	0	0	0.072851
Cadps2	0.206308	0	0	0.483275	0	0
Rnf133	0	0	0	0	0	0
Rnf148	0	42.4913	0	0	49.6781	50.9378
Hyal6	0	0	0.421291	0	0	0
Hyal4	0	0	0	0	0	0
Hyal5	0	0	0	0	0	0
Spam1	0	0	0	0	0.0191849	0
Tmem229a	0.307338	0.269229	12.8525	0	0	0
Gpr37	0	0.0321576	0.15129	0.0925747	0	0
Wasl	16.4887	16.7407	0	13.6117	16.6875	0
Gm20756	0.0775057	0.271505	0	0	0	16.0238
Pot1a	12.6146	7.84834	8.92801	2.51754	0.158329	1.19022
Zfp800	2.90214	1.42085	2.09214	7.80026	0	10.6958
Gcc1	3.44309	0.0370437	2.63704	3.31832	1.66426	3.6681
Grm8	0.0907036	0	0.0694799	52.8727	11.0315	0
Mir592	0	4.51471	0	0	4.52178	0
Fscn3	0	0	0	0	0	0
Pax4	0	0	0	0.0636812	0	0
Arf5	35.9604	92.8802	48.5875	0	48.5477	34.9274
Mir129-1	0	0	0	0	0	0
Lep	0	0	0	0	0	0
Prrt4	0.130955	0.832077	0.0752428	0.275733	0.142813	0.0782832
Fam71f2	0.108831	0.0464687	5.95554	53.38	0	0
Fam71f1	0	11.869	16.4184	0.323617	6.29457	8.34184
Hilpda	5.70256	0.0330304	10.4284	0	0	0
Impdh1	9.83281	26.5526	56.1229	19.7813	10.3032	43.8879
Snd1	43.4886	31.4133	0.353115	0.226914	50.5284	0.0367361
Lrrc4	0.215119	77.1297	0	5.6429	0.0268196	21.0331
Rbm28	20.3738	0.423564	0	10.3317	22.9087	8.91229
Ccdc136	9.91447	7.7811	2.14033	2.19857	6.47456	5.24882
Gm9047	0	45.2836	6.92137	0.353235	0.195024	0.187393
Atp6v1f	62.8489	0.0145773	0	0	0	66.0816
Flnc	5.06623	1.09623	0.20591	6.89823	65.3157	3.19845
Kcp	0.201674	159.577	0	0.0944901	4.86481	0
Calu	49.644	0.0723863	87.0312	96.7066	0.23498	0.587924
Opn1sw	0	0.515252	54.6074	60.3642	0.260659	77.6341
Irf5	0.504811	10.951	0.109673	0	3.28062	0.0570778
Tspan33	1.80032	2.5278	0.828504	0.629555	84.3874	0.143782
Smo	8.68373	0.422826	6.9709	6.53837	0.0415078	3.06027
1700023L04Rik	0.235593	12.0068	32.5402	35.2988	1.19512	0.849986
Strip2	0.144567	0.286608	0.284636	0.217782	0.180527	0.123343
Tnpo3	47.2374	5.88617	4.85817	0.966235	37.276	0
Mir96	0	60.2364	0.541397	5.30583	4.53664	35.9324
Mir183	0	0	0	0	0	0
Mir182	0	0.19846	0	0	0	0.104388
BB283400	0.17393	0	0	0.363666	0	3.91124
Ahcyl2	6.5685	0	0	0	0.0752297	0
Zc3hc1	20.1994	23.3796	8.77059	10.3762	14.3668	19.2108
Nrf1	13.543	4.6885	18.4473	24.3396	24.4393	11.0478
Klhdc10	10.8452	47.912	7.34139	0	9.57994	4.00219
Cpa5	0	0.0675846	5.51504	0.393726	0	0
Cpa1	0	0.716277	0	8.30132	0.488592	0
Ssmem1	0.0929866	12.1783	0	0.238021	0	0.226366
Cpa2	0.65969	0	0	0	0.147838	0
Cpa4	0.170092	0.0173128	0.217172	0	0.19196	0.203715
Ube2h	5.59664	2.45124	20.0019	2.22876	2.30869	8.25261
Cep41	3.27491	0	0	19.6382	15.0612	14.5279
Tmem209	33.1753	17.4477	1.74865	0	5.86805	1.8391
Tsga13	0	0	0	4.53597	0	0
Mir29a	0	0	0	0	0	0
Mir29b-1	0	0.174435	0	0	0	0
Klf14	0.152001	0	0	0	0	0
Gm13845	0	0.12663	0	0	0	0
2210408F21Rik	0.272866	7.51365	0.827191	0	0	1.488
1700012A03Rik	0	0.286964	20.8949	0	11.3025	0
Mkln1	10.8528	0	0	0.945286	3.1854	2.5677
Podxl	9.12389	1.0312	0	21.2017	0	9.0028
Plxna4	0.0338644	18.7433	0	0	1.17464	1.18378
B230378P21Rik	0	0	9.5519	4.36062	19.4506	19.418
Mest	1.03421	8.08602	3.80914	12.9316	0	0
Copg2	25.9936	0.049397	0.0194371	0	0.0963881	0.111143
Mir335	0	0	0	0	0	0
Chchd3	62.3824	54.9367	76.3074	6.49714	65.8236	63.7659
Lrguk	0.478721	0.338123	5.59713	89.1643	0.417386	0.572517
Exoc4	22.4384	7.58032	0.761835	0.387477	27.1937	23.8491
Slc35b4	6.90399	20.3534	25.7473	22.4007	7.17799	6.54649
Akr1b8	2.88169	9.40863	0	0	4.57671	7.38421
Akr1b7	0.101256	8.003	3.76331	3.88205	0.0873978	0
Akr1b10	5.01682	0.00768964	5.35193	2.8085	7.21898	6.02457
Bpgm	7.00393	6.53256	12.0852	11.7379	7.75698	6.83243
Agbl3	0.119524	22.6005	0.0686662	0.125879	23.9237	0
Wdr91	5.14339	0.0915299	6.36037	1.8586e-05	58.6715	0.580539
2010107G12Rik	0.107738	9.30603	20.406	1.35968	0.052162	27.2651
Stra8	4.04991	0.625273	5.69311e-07	26.2353	0.209195	50.2469
Akr1b3	21.2334	6.56135	0.712651	24.3412	0.808585	0.101258
Gm6644	42.6832	0.226949	26.9657	6.99796	0.146034	0.389677
Tmem140	0.332122	0.831445	21.3121	0	5.08224	0.654076
3110062M04Rik	0.933204	0.91731	0	20.7046	0.749467	4.55088
Cald1	34.2626	136.832	5.83042	6.88242	47.6279	38.7199
Cnot4	13.8696	14.2726	8.98191	10.5691	13.2335	11.9165
Slc13a4	0.293456	0.269585	0	0	0	0.350845
1700065J11Rik	0	0.0242675	0	0	0.11379	46.5994
Fam180a	0.159375	0.283914	0.599503	38.0094	0.138025	0
1810058I24Rik	26.4584	50.4492	43.449	0.205967	43.9969	0
Ptn	0.869281	0.937745	0.0548857	32.8481	0.856118	0.694143
Akr1d1	0	0.109847	1.46669	0	0.0626158	32.8616
Dgki	0.199087	0	0	0.85137	36.28	0.0570884
Creb3l2	1.75451	0	32.0798	0	0	4.55868
